["keygen", 0.07306323, 2.372383599, 50000]
["keygen", 2.372457107, 4.673297139, 50000]
["nonce", 0.0017865670000000002, 2.427121883, 50000]
["encrypt", 2.427246695, 4.760437219, 40000]
["nonce", 0.0015530160000000002, 2.425402186, 50000]
["decrypt", 0.00200042, 2.49801587, 350000]
["keygen", 2.4981460970000002, 4.7843616650000005, 50000]
["encrypt", 4.784413368, 7.227964689, 40000]
["encrypt", 7.228023433, 9.749323552, 40000]
["decrypt", 2.425612584, 5.400801469, 350000]
["decrypt", 4.760575469, 7.388492683, 350000]
["nonce", 7.388551743, 9.822707604, 50000]
["encrypt", 9.822758873, 12.152435634, 40000]
["decrypt", 5.400932482, 7.636269501, 350000]
["encrypt", 7.636338206, 9.942983992, 40000]
["decrypt", 12.152548392, 14.333599061, 350000]
