["keygen", 0.07253528100000001, 2.490750611, 50000]
["keygen", 2.490847352, 4.89330975, 50000]
["nonce", 0.0018206300000000002, 2.471643915, 50000]
["encrypt", 2.471767938, 4.879955257, 40000]
["nonce", 0.0015447640000000001, 2.468163918, 50000]
["decrypt", 0.0020683620000000002, 2.660107622, 350000]
["keygen", 2.660238324, 4.98335208, 50000]
["encrypt", 4.983403196, 7.571994285, 40000]
["encrypt", 7.572054608, 10.074837334, 40000]
["decrypt", 2.468375608, 5.492088902, 350000]
["decrypt", 4.880096322, 7.872359438, 350000]
["nonce", 7.872415485, 10.351626733, 50000]
["encrypt", 10.351676608, 12.727349764, 40000]
["decrypt", 5.492213946, 7.86377402, 350000]
["encrypt", 7.863840571, 10.290297099, 40000]
["decrypt", 12.727447226, 14.952008278000001, 350000]
