["keygen", 0.07067128, 2.594892485, 50000]
["keygen", 2.594967117, 5.052633866, 50000]
["nonce", 0.001809576, 2.4456551920000003, 50000]
["encrypt", 2.445776662, 4.830795724, 40000]
["nonce", 0.0015342740000000002, 2.4593706810000002, 50000]
["decrypt", 0.0020475240000000002, 2.5206930229999998, 350000]
["keygen", 2.520830863, 4.84781852, 50000]
["encrypt", 4.847871748, 7.215829432, 40000]
["encrypt", 7.215888391, 9.642716882, 40000]
["decrypt", 2.459579078, 5.476256117, 350000]
["decrypt", 4.830935169, 7.502323973, 350000]
["nonce", 7.50238347, 10.00843715, 50000]
["encrypt", 10.008492401, 12.321954769, 40000]
["decrypt", 5.476377558, 7.727814296, 350000]
["encrypt", 7.7278819720000005, 10.043444609, 40000]
["decrypt", 12.322069836, 14.6073811, 350000]
