["keygen", 0.062291052000000006, 2.349211466, 50000]
["keygen", 2.349284432, 4.633035227, 50000]
["nonce", 0.0017776040000000001, 2.412044207, 50000]
["encrypt", 2.412164528, 4.808096354, 40000]
["nonce", 0.001539482, 2.409304242, 50000]
["decrypt", 0.002050651, 2.441728456, 350000]
["keygen", 2.441863994, 4.719448957, 50000]
["encrypt", 4.71949976, 7.35921064, 40000]
["encrypt", 7.359267005, 9.773155034, 40000]
["decrypt", 2.409503022, 5.360398844, 350000]
["decrypt", 4.808232182, 7.4593466710000005, 350000]
["nonce", 7.459403061, 9.874088947, 50000]
["encrypt", 9.874137789, 12.167325683, 40000]
["decrypt", 5.360520572, 7.5800470220000005, 350000]
["encrypt", 7.580113476, 9.860137189, 40000]
["decrypt", 12.167433746, 14.325231832, 350000]
